TransactionID,Date,Product,Category,Quantity,UnitPrice
1,2023-01-01,Doodad,Gadgets,9,92.99
2,2023-01-01,Contraption,Gadgets,15,36.19
3,2023-01-01,Thingamajig,Tools,16,26.35
4,2023-01-01,Contraption,Accessories,8,49.1
5,2023-01-01,Contraption,Widgets,16,22.04
6,2023-01-01,Gadget B,Accessories,5,88.98
7,2023-01-01,Thingamajig,Accessories,18,37.11
8,2023-01-01,Thingamajig,Tools,14,59.74
9,2023-01-01,Thingamajig,Accessories,2,61.5
10,2023-01-01,Contraption,Accessories,3,53.92
11,2023-01-01,Doodad,Widgets,14,19.87
12,2023-01-01,Thingamajig,Accessories,7,99.15
13,2023-01-01,Contraption,Widgets,15,21.4
14,2023-01-01,Gadget B,Tools,17,76.39
15,2023-01-01,Doodad,Widgets,1,80.18
16,2023-01-01,Gadget B,Gadgets,9,18.79
17,2023-01-01,Doodad,Gadgets,14,93.65
18,2023-01-01,Contraption,Widgets,16,51.34
19,2023-01-01,Widget A,Gadgets,13,64.74
20,2023-01-01,Doodad,Tools,6,66.01
21,2023-01-01,Gadget B,Gadgets,1,52.97
22,2023-01-01,Contraption,Widgets,4,18.49
23,2023-01-01,Doodad,Tools,3,76.42
24,2023-01-01,Widget A,Gadgets,17,60.27
25,2023-01-02,Widget A,Tools,2,16.27
26,2023-01-02,Thingamajig,Widgets,19,71.53
27,2023-01-02,Thingamajig,Gadgets,8,71.76
28,2023-01-02,Gadget B,Tools,15,57.11
29,2023-01-02,Doodad,Tools,6,13.6
30,2023-01-02,Doodad,Gadgets,2,38.5
31,2023-01-02,Thingamajig,Tools,15,9.84
32,2023-01-02,Doodad,Tools,12,50.37
33,2023-01-02,Doodad,Widgets,3,91.11
34,2023-01-02,Widget A,Widgets,10,5.21
35,2023-01-02,Thingamajig,Widgets,14,30.33
36,2023-01-02,Contraption,Widgets,14,80.99
37,2023-01-02,Thingamajig,Widgets,3,5.94
38,2023-01-02,Contraption,Widgets,1,5.97
39,2023-01-02,Widget A,Gadgets,1,63.03
40,2023-01-02,Gadget B,Widgets,2,79.97
41,2023-01-02,Doodad,Tools,19,78.77
42,2023-01-02,Widget A,Gadgets,10,79.06
43,2023-01-02,Doodad,Tools,4,39.3
44,2023-01-02,Gadget B,Widgets,4,88.86
45,2023-01-02,Gadget B,Widgets,13,6.22
46,2023-01-02,Widget A,Tools,9,34.66
47,2023-01-02,Gadget B,Tools,7,37.03
48,2023-01-02,Contraption,Tools,16,20.73
49,2023-01-03,Gadget B,Accessories,18,36.94
50,2023-01-03,Doodad,Accessories,3,60.66
51,2023-01-03,Doodad,Accessories,10,54.43
52,2023-01-03,Doodad,Accessories,16,35.35
53,2023-01-03,Doodad,Gadgets,3,76.19
54,2023-01-03,Contraption,Widgets,11,72.91
55,2023-01-03,Thingamajig,Tools,10,31.67
56,2023-01-03,Widget A,Widgets,16,35.71
57,2023-01-03,Doodad,Tools,8,32.31
58,2023-01-03,Gadget B,Widgets,9,17.24
59,2023-01-03,Doodad,Gadgets,15,76.51
60,2023-01-03,Gadget B,Accessories,3,9.4
61,2023-01-03,Gadget B,Widgets,4,19.31
62,2023-01-03,Doodad,Tools,13,15.0
63,2023-01-03,Contraption,Widgets,12,83.41
64,2023-01-03,Gadget B,Gadgets,9,9.18
65,2023-01-03,Gadget B,Gadgets,14,68.14
66,2023-01-03,Doodad,Widgets,19,9.23
67,2023-01-03,Gadget B,Accessories,7,79.71
68,2023-01-03,Gadget B,Tools,16,91.71
69,2023-01-03,Doodad,Gadgets,5,51.25
70,2023-01-03,Doodad,Gadgets,10,81.43
71,2023-01-03,Widget A,Widgets,18,72.11
72,2023-01-03,Contraption,Gadgets,11,80.59
73,2023-01-04,Contraption,Gadgets,7,77.84
74,2023-01-04,Gadget B,Tools,14,24.51
75,2023-01-04,Contraption,Accessories,18,52.46
76,2023-01-04,Gadget B,Tools,11,96.24
77,2023-01-04,Widget A,Accessories,12,37.64
78,2023-01-04,Doodad,Tools,18,97.2
79,2023-01-04,Doodad,Widgets,2,60.4
80,2023-01-04,Doodad,Gadgets,1,48.85
81,2023-01-04,Contraption,Accessories,10,67.49
82,2023-01-04,Widget A,Widgets,1,82.5
83,2023-01-04,Contraption,Gadgets,6,42.45
84,2023-01-04,Contraption,Gadgets,7,8.13
85,2023-01-04,Widget A,Gadgets,17,72.34
86,2023-01-04,Widget A,Tools,9,95.84
87,2023-01-04,Widget A,Widgets,7,64.37
88,2023-01-04,Widget A,Widgets,17,22.9
89,2023-01-04,Doodad,Gadgets,3,28.58
90,2023-01-04,Thingamajig,Accessories,16,91.43
91,2023-01-04,Thingamajig,Widgets,5,6.29
92,2023-01-04,Widget A,Tools,18,57.13
